FECHA,x,y,MCARI_OSAVI,CI_green,NDRE,NDVI,MCARI_OSAVI_RE,MTCI,TCARI_OSAVI,CCCI_simpl,GNDVI,CCCI,N_TOTAL,RVI,CIred_edge,TCARI_OSAVI_RE
10/05/2017,673249,2834730,0.095019465,9.283849573,0.26855034,0.745765346,0.561176932,0.990142843,1.706870645,0.52796707,0.822073749,0.360941549,1.94,6.967122507,0.735468659,4.898958254
10/05/2017,673265,2835122,0,10.97107033,0.288274821,0.83514528,0.679531879,0.973580296,1.677843308,0.611702566,0.845041926,0.345468606,2.74,11.19856895,0.812636435,5.97843626
10/05/2017,673292,2835142,0,12.5423497,0.34052598,0.845707083,0.661107097,1.247701311,1.510680876,0.833522158,0.861977677,0.402767875,2.17,11.9858609,1.034156106,5.7745084
10/05/2017,673310,2835154,0,14.03611717,0.356577451,0.858882701,0.696412642,1.322554588,1.52500557,0.901664784,0.875111911,0.415215309,2.18,13.20950508,1.109885981,6.250635757
10/05/2017,673505,2834937,0.073319132,11.27183971,0.340317616,0.779559049,0.470640111,1.400506663,1.221639282,0.832637605,0.849068761,0.437209396,2.54,8.143942285,1.038131151,4.065199089
10/05/2017,673530,2834966,0.076371534,10.94179225,0.337201998,0.775120172,0.455352595,1.404363108,1.187730625,0.819411007,0.844941661,0.436392023,2.26,8.012202144,1.026720706,3.927721179
10/05/2017,673546,2834987,0.10471017,10.61054927,0.329294302,0.746503748,0.444208235,1.408751629,1.185450483,0.785840798,0.841074057,0.44287755,2.23,7.028672308,0.98655742,3.789781123
10/10/2017,672967,2834789,0.071702647,4.475983839,0.201560904,0.757157642,0.250625286,0.638651109,0.890822077,0.59271844,0.701062289,0.26611732,2.53,7.564040852,0.506326889,2.198626828
10/10/2017,672984,2834806,0,5.648006725,0.224761307,0.823663297,0.275174891,0.685513644,0.78895025,0.702200216,0.741411004,0.272921847,2.47,10.48344585,0.580542314,2.34900775
10/10/2017,673002,2834847,0.001118547,6.351284618,0.242024315,0.843736851,0.284112529,0.743531125,0.700083673,0.777943931,0.757124572,0.287138676,2.46,12.13976414,0.639141872,2.362010636
10/10/2017,673006,2834859,0,7.469404554,0.264398974,0.887792487,0.365404372,0.801412513,0.649695728,0.856867006,0.789298704,0.297848873,2.88,16.90337822,0.719306881,3.029882422
10/10/2017,673037,2834889,0,7.395494232,0.274842191,0.875654516,0.35040653,0.859523301,0.697765327,0.887376516,0.787387486,0.313906894,2.71,15.14068184,0.758938196,2.848963776
10/10/2017,673049,2834901,0,7.156624794,0.268449153,0.876254574,0.354705797,0.829629821,0.704118902,0.863659577,0.784682187,0.306414563,2.67,15.24298224,0.734401238,2.8989236
10/10/2017,673179,2834599,0.159884009,3.083464451,0.146497858,0.624310434,0.173439243,0.497780503,1.073152139,0.408273153,0.611185334,0.232880252,2.65,4.479849253,0.346080796,1.999353371
10/10/2017,673190,2834611,0.017272913,4.906615806,0.196962007,0.796900776,0.265293457,0.591155374,0.918207276,0.623588735,0.706962335,0.246642637,2.66,9.028456974,0.49259593,2.420159024
10/10/2017,673220,2834641,0.009969821,5.587667465,0.239529394,0.813930812,0.308088581,0.75701891,0.855682395,0.76245926,0.739691899,0.294183621,2.37,9.837154465,0.630709148,2.49484375
10/10/2017,673235,2834655,0.007981826,5.344405441,0.222216708,0.807521696,0.298600438,0.688081167,0.896838694,0.706878943,0.725634971,0.275260209,2.56,9.432454643,0.572326431,2.503674059
10/10/2017,673262,2834676,0.080546491,4.323513174,0.204031059,0.728020387,0.257113558,0.682431566,0.92045244,0.631558801,0.681137297,0.281839409,2.76,6.492368221,0.514129365,2.166817832
10/10/2017,673277,2834693,0,5.310765833,0.203117149,0.824052985,0.253854139,0.599284372,0.809422026,0.654275496,0.730571318,0.2467073,2.81,10.52271423,0.51098776,2.366350765
10/10/2017,673282,2835115,0,7.339777432,0.258815239,0.890725904,0.356957387,0.776990755,0.619362881,0.826422091,0.787432973,0.290629734,1.8,17.32472973,0.70005955,3.002806015
10/10/2017,673291,2835169,0,7.943100905,0.285001843,0.891798127,0.388913361,0.889357264,0.658171113,0.926174945,0.800030174,0.319619014,2.36,17.53860012,0.797649856,3.174152861
10/10/2017,673294,2835126,0,7.961417351,0.273427731,0.899692128,0.39131358,0.830163105,0.593636246,0.892232995,0.797191925,0.303901273,1.98,18.95293655,0.75326699,3.235028734
