FECHA,x,y,MCARI_OSAVI,CI_green,NDRE,NDVI,MCARI_OSAVI_RE,MTCI,TCARI_OSAVI,CCCI_simpl,GNDVI,CCCI,RVI,CIred_edge,TCARI_OSAVI_RE,Altura_PTA,SPAD,N_TOTAL,NO3-NH4,M.O.,P2O5 mg/kg,P2O5 kg/ha,%Humedad,% ARENA,% ARCILLA,% LIMO,CLASE TEXTURAL
09/11/2017,672991,2834763,0.28392023,1.015761319,0.074783246,0.206467451,0.155900249,0.691065761,1.357306343,0.1554882,0.33666921,0.362976539,1.520898342,0.161724662,2.154459024,22,37.1,3.26,39.06202125,1.544574511,26.692742,100.0977825,12.40167364,61.32,23.04,15.64,FRANCO ARCILLOSO ARENOSO
09/11/2017,673009,2834792,0.274314439,0.98534848,0.077152952,0.20314098,0.188865089,0.753114802,1.316349707,0.175169655,0.3296494,0.382892404,1.5116258,0.167300949,2.188258162,20,33.1,3.31,39.06202125,2.214359281,49.234674,184.6300275,11.34896364,63.32,23.04,13.64,FRANCO ARCILLOSO ARENOSO
09/11/2017,673016,2834822,0.294671673,1.093053513,0.079281776,0.228269219,0.164281723,0.66264409,1.376631379,0.192850474,0.353286201,0.34894492,1.592499576,0.172282453,2.167295742,22,38.6,3.78,13.58679,1.5455007,98.296526,368.6119725,13.60989811,65.32,19.04,15.64,FRANCO ARENOSO
09/11/2017,673030,2834850,0.296774612,1.19179107,0.094330904,0.268019114,0.236521174,0.704584551,1.336455762,0.317840116,0.372851208,0.355267598,1.736581624,0.208448768,2.237799978,22,37.6,3.48,22.07853375,1.879976034,46.582682,174.6850575,13.87582314,65.32,20.68,14,FRANCO ARCILLOSO ARENOSO
09/11/2017,673053,2834876,0.239373883,1.05262284,0.099654588,0.230298677,0.288989448,0.957018837,1.114491051,0.362055662,0.344410768,0.435488178,1.600574547,0.221476111,2.164132404,22,37.1,3.49,20.380185,3.422191617,122.827452,460.602945,12.39277652,67.32,18.68,14,FRANCO ARENOSO
09/11/2017,673055,2834900,0.244961766,0.979648083,0.087967004,0.206628819,0.258191877,0.903605644,1.172938414,0.264985122,0.328648133,0.426989814,1.521703355,0.192977835,2.182215124,22,37.1,3.46,22.07853375,2.684607706,55.864654,209.4924525,12.90849673,67.32,20.68,12,FRANCO ARCILLOSO ARENOSO
09/11/2017,673174,2834640,0.266601481,0.946593535,0.072872372,0.190867962,0.164325171,0.741186385,1.300862865,0.139617553,0.321137095,0.382338202,1.472471929,0.157309861,2.128348379,17,35.6,3.75,20.380185,1.143012,31.333728,117.50148,13.6537725,60.04,23.24,16.72,FRANCO ARCILLOSO ARENOSO
09/11/2017,673177,2834950,0.305625757,1.257122974,0.090900268,0.270798073,0.19760637,0.644648123,1.391196594,0.289347178,0.385795182,0.33568197,1.743250313,0.200116983,2.227669096,16,36.7,3.72,27.17358,1.074272019,62.494634,234.3548775,15.01809409,62.04,21.24,16.72,FRANCO ARCILLOSO ARENOSO
09/11/2017,673184,2834661,0.308447383,1.20718869,0.08640108,0.27349045,0.17343577,0.591143058,1.37892096,0.251979433,0.375672603,0.316235909,1.756289208,0.189377046,2.118947703,22,33.8,3.75,22.07853375,0.134310827,61.831636,231.868635,13.23862467,60.04,23.24,16.72,FRANCO ARCILLOSO ARENOSO
09/11/2017,673198,2834685,0.289722844,1.100162864,0.074130729,0.226684337,0.114325257,0.598586309,1.355003786,0.150068758,0.354695199,0.32709764,1.586881218,0.160238197,2.011703973,22,37.7,3.86,64.5372525,1.679892065,102.274514,383.5294275,13.09783399,64.04,23.24,12.72,FRANCO ARCILLOSO ARENOSO
09/11/2017,673227,2834700,0.248987497,1.015180397,0.083986171,0.204707208,0.219501156,0.849954402,1.219893074,0.231922549,0.33638388,0.411557778,1.51673451,0.183606495,2.17504386,20,39,4.04,20.380185,1.410827338,46.582682,174.6850575,13.62962963,62.04,21.96,16,FRANCO ARCILLOSO ARENOSO
09/11/2017,673228,2835039,0.278493016,1.299727976,0.101062109,0.277998657,0.236417574,0.742102644,1.274764997,0.373745745,0.393701173,0.365098803,1.772064936,0.225080665,2.196596479,24,37.6,3.71,39.06202125,1.545809676,81.058578,303.9696675,9.534974599,79.32,13.68,7,FRANCO ARENOSO
09/11/2017,673241,2834730,0.249269576,1.04735426,0.092843878,0.226797643,0.255724069,0.861919947,1.161532893,0.305489717,0.34334783,0.411330568,1.588566775,0.204802856,2.124253206,22,38.3,3.82,20.380185,1.007130018,67.798618,254.2448175,13.67121751,64.04,21.96,14,FRANCO ARCILLOSO ARENOSO
09/11/2017,673366,2834823,0.261159381,0.992678323,0.079403434,0.196849332,0.205633602,0.812516183,1.28817218,0.193860899,0.331475191,0.403410824,1.490715092,0.172615347,2.234872067,20,35.5,3.75,66.23560125,2.889414351,97.633528,366.12573,13.95191331,66.04,21.96,12,FRANCO ARCILLOSO ARENOSO
